number of plants,average children count,number of animals,average animal lifespan,average energy level of animals
0.0,0.0,10.0,0.0,50.0
2.0,0.0,10.0,0.0,50.0
4.0,0.18181818181818182,11.0,0.0,47.63636363636363
6.0,0.3333333333333333,12.0,0.0,45.0
8.0,0.3333333333333333,12.0,0.0,45.0
10.0,0.3333333333333333,12.0,0.0,45.0
12.0,0.3333333333333333,12.0,0.0,45.0
14.0,0.3333333333333333,12.0,0.0,45.0
16.0,0.3333333333333333,12.0,0.0,45.0
17.0,0.3333333333333333,12.0,0.0,45.0
18.0,0.3333333333333333,12.0,0.0,45.0
19.0,0.3333333333333333,12.0,0.0,45.0
19.0,0.46153846153846156,13.0,0.0,42.92307692307692
21.0,0.46153846153846156,13.0,0.0,42.92307692307692
22.0,0.46153846153846156,13.0,0.0,42.92307692307692
23.0,0.5714285714285714,14.0,0.0,40.857142857142854
22.0,0.5714285714285714,14.0,0.0,40.857142857142854
24.0,0.5714285714285714,14.0,0.0,40.857142857142854
25.0,0.5714285714285714,14.0,0.0,40.857142857142854
26.0,0.6666666666666666,15.0,16.0,39.46666666666667
23.0,0.7142857142857143,14.0,16.0,42.285714285714285
22.0,0.7142857142857143,14.0,16.0,42.285714285714285
21.0,0.8,15.0,16.0,40.53333333333333
22.0,0.8,15.0,16.0,40.53333333333333
23.0,0.8,15.0,16.0,40.53333333333333
24.0,0.8,15.0,16.0,40.53333333333333
24.0,0.8,15.0,20.0,40.53333333333333
23.0,0.8571428571428571,14.0,20.0,43.42857142857143
23.0,0.8571428571428571,14.0,20.0,43.42857142857143
24.0,0.8571428571428571,14.0,20.0,43.42857142857143
25.0,0.8571428571428571,14.0,22.0,43.42857142857143
26.0,0.8333333333333334,12.0,22.0,50.666666666666664
26.0,0.8333333333333334,12.0,22.0,50.666666666666664
26.0,0.8333333333333334,12.0,22.0,50.666666666666664
26.0,0.8333333333333334,12.0,22.0,50.666666666666664
27.0,0.8333333333333334,12.0,24.6,50.666666666666664
27.0,0.7272727272727273,11.0,24.6,55.27272727272727
28.0,0.7272727272727273,11.0,24.6,55.27272727272727
29.0,0.7272727272727273,11.0,24.6,55.27272727272727
29.0,0.7272727272727273,11.0,24.6,55.27272727272727
31.0,0.7272727272727273,11.0,24.6,55.27272727272727
32.0,0.7272727272727273,11.0,24.6,55.27272727272727
33.0,0.7272727272727273,11.0,24.6,55.27272727272727
33.0,0.7272727272727273,11.0,24.6,55.27272727272727
33.0,0.7272727272727273,11.0,24.6,55.27272727272727
34.0,0.7272727272727273,11.0,24.6,55.27272727272727
34.0,0.7272727272727273,11.0,24.6,55.27272727272727
35.0,0.7272727272727273,11.0,24.6,55.27272727272727
35.0,0.7272727272727273,11.0,24.833333333333332,55.27272727272727
35.0,0.8,10.0,24.833333333333332,60.8
34.0,0.8,10.0,28.428571428571427,60.8
35.0,0.8,10.0,31.25,60.8
37.0,0.7777777777777778,9.0,31.25,67.55555555555556
37.0,0.7777777777777778,9.0,33.666666666666664,67.55555555555556
39.0,0.625,8.0,33.666666666666664,76.0
40.0,0.625,8.0,33.666666666666664,76.0
41.0,0.625,8.0,33.666666666666664,76.0
41.0,0.625,8.0,33.666666666666664,76.0
41.0,0.625,8.0,33.666666666666664,76.0
42.0,0.625,8.0,33.666666666666664,76.0
42.0,0.625,8.0,33.666666666666664,76.0
43.0,0.42857142857142855,7.0,33.666666666666664,86.85714285714286
44.0,0.42857142857142855,7.0,36.5,86.85714285714286
43.0,0.3333333333333333,6.0,36.5,101.33333333333333
44.0,0.3333333333333333,6.0,36.5,101.33333333333333
45.0,0.3333333333333333,6.0,36.5,101.33333333333333
46.0,0.3333333333333333,6.0,36.5,101.33333333333333
46.0,0.3333333333333333,6.0,36.5,101.33333333333333
47.0,0.3333333333333333,6.0,36.5,101.33333333333333
48.0,0.3333333333333333,6.0,36.5,101.33333333333333
49.0,0.3333333333333333,6.0,36.5,101.33333333333333
50.0,0.3333333333333333,6.0,36.5,101.33333333333333
51.0,0.3333333333333333,6.0,36.5,101.33333333333333
52.0,0.3333333333333333,6.0,36.5,101.33333333333333
51.0,0.3333333333333333,6.0,36.5,101.33333333333333
52.0,0.3333333333333333,6.0,36.5,101.33333333333333
53.0,0.3333333333333333,6.0,36.5,101.33333333333333
53.0,0.3333333333333333,6.0,36.5,101.33333333333333
54.0,0.5714285714285714,7.0,36.5,90.85714285714286
55.0,0.75,8.0,36.5,81.875
56.0,0.75,8.0,36.5,81.875
56.0,0.75,8.0,40.54545454545455,81.875
56.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
57.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
57.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
57.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
56.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
56.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
57.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
57.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
58.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
59.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
60.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
60.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
60.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
57.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
57.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
58.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
58.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
58.0,0.5714285714285714,7.0,40.54545454545455,93.57142857142857
58.0,0.5714285714285714,7.0,43.69230769230769,93.57142857142857
58.0,0.6,5.0,43.69230769230769,131.0
59.0,0.6,5.0,43.69230769230769,131.0
60.0,0.6,5.0,43.69230769230769,131.0
61.0,0.6,5.0,43.69230769230769,131.0
60.0,0.6,5.0,43.69230769230769,131.0
61.0,0.6,5.0,43.69230769230769,131.0
62.0,0.6,5.0,43.69230769230769,131.0
62.0,0.6,5.0,43.69230769230769,131.0
63.0,0.6,5.0,43.69230769230769,131.0
63.0,0.6,5.0,43.69230769230769,131.0
64.0,0.6,5.0,43.69230769230769,131.0
65.0,0.6,5.0,43.69230769230769,131.0
65.0,0.6,5.0,43.69230769230769,131.0
65.0,0.6,5.0,43.69230769230769,131.0
65.0,0.6,5.0,43.69230769230769,131.0
65.0,0.6,5.0,43.69230769230769,131.0
65.0,0.6,5.0,43.69230769230769,131.0
66.0,0.6,5.0,43.69230769230769,131.0
65.0,0.6,5.0,43.69230769230769,131.0
66.0,0.6,5.0,49.142857142857146,131.0
66.0,0.75,4.0,49.142857142857146,163.75
67.0,0.75,4.0,49.142857142857146,163.75
68.0,0.75,4.0,49.142857142857146,163.75
69.0,0.75,4.0,49.142857142857146,163.75
70.0,0.75,4.0,49.142857142857146,163.75
71.0,0.75,4.0,49.142857142857146,163.75
71.0,0.75,4.0,49.142857142857146,163.75
72.0,0.75,4.0,49.142857142857146,163.75
73.0,0.75,4.0,49.142857142857146,163.75
74.0,0.75,4.0,49.142857142857146,163.75
74.0,0.75,4.0,49.142857142857146,163.75
74.0,0.75,4.0,49.142857142857146,163.75
74.0,0.75,4.0,49.142857142857146,163.75
75.0,0.75,4.0,49.142857142857146,163.75
76.0,0.75,4.0,49.142857142857146,163.75
77.0,0.75,4.0,49.142857142857146,163.75
78.0,0.75,4.0,49.142857142857146,163.75
79.0,0.75,4.0,49.142857142857146,163.75
78.0,0.75,4.0,49.142857142857146,163.75
77.0,0.75,4.0,49.142857142857146,163.75
77.0,0.75,4.0,49.142857142857146,163.75
78.0,0.75,4.0,49.142857142857146,163.75
79.0,0.75,4.0,49.142857142857146,163.75
80.0,0.75,4.0,49.142857142857146,163.75
80.0,0.75,4.0,49.142857142857146,163.75
79.0,0.75,4.0,49.142857142857146,163.75
80.0,0.75,4.0,49.142857142857146,163.75
81.0,0.75,4.0,49.142857142857146,163.75
82.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
82.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
84.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
82.0,0.75,4.0,49.142857142857146,163.75
83.0,0.75,4.0,49.142857142857146,163.75
84.0,0.75,4.0,49.142857142857146,163.75
84.0,0.75,4.0,49.142857142857146,163.75
84.0,0.75,4.0,49.142857142857146,163.75
85.0,0.75,4.0,49.142857142857146,163.75
86.0,0.75,4.0,49.142857142857146,163.75
87.0,0.75,4.0,49.142857142857146,163.75
88.0,0.75,4.0,49.142857142857146,163.75
51.50595238095238,0.625675234157377,7.565476190476191,34.297393875965305,102.9223016897124
